MemberID,FirstName,LastName,DateOfBirth,Email,Phone,RegistrationDate,MembershipStatus,TierID,LastPaymentDate,NextPaymentDueDate,TotalPaymentsMade
16,Peter,White,23/01/1993,peter.w@example.com,555-5555,15/03/2025,Active,4,24/05/2025,24/06/2025,120
17,Quinn,Harris,17/03/1991,quinn.h@example.com,555-6666,01/04/2025,Active,2,02/05/2025,02/06/2025,50
18,Rachel,Clark,28/05/1996,rachel.c@example.com,555-7777,10/04/2025,Active,1,09/05/2025,09/06/2025,30
19,Sam,Lewis,12/07/1987,sam.l@example.com,555-8888,20/04/2025,Active,3,16/05/2025,16/06/2025,80
20,Tina,Young,02/09/1990,tina.y@example.com,555-9999,01/05/2025,Active,2,21/05/2025,21/06/2025,50
21,Umar,Hall,11/04/1985,umar.h@example.com,555-0001,10/01/2024,Active,1,08/05/2025,08/06/2025,30
22,Victoria,Allen,25/06/1992,victoria.a@example.com,555-0002,15/02/2024,Active,3,13/05/2025,13/06/2025,80
23,Will,Wright,19/08/1994,will.w@example.com,555-0003,20/03/2024,Expired,2,05/04/2025,05/05/2025,50
24,Xena,Moore,03/10/1990,xena.m@example.com,555-0004,25/04/2024,Active,4,11/05/2025,11/06/2025,120
25,Yara,Scott,07/12/1993,yara.s@example.com,555-0005,30/05/2024,Active,1,06/05/2025,06/06/2025,30
26,Zack,King,22/01/1987,zack.k@example.com,555-0006,05/06/2024,Active,3,17/05/2025,17/06/2025,80
27,Amy,Adams,14/03/1996,amy.a@example.com,555-0007,12/07/2024,Active,2,23/05/2025,23/06/2025,50
28,Ben,Baker,08/05/1989,ben.b@example.com,555-0008,01/08/2024,Active,1,04/05/2025,04/06/2025,30
29,Cathy,Cruz,02/07/1991,cathy.c@example.com,555-0009,10/09/2024,Active,4,15/05/2025,15/06/2025,120
30,Don,Dunn,16/09/1986,don.d@example.com,555-0010,05/10/2024,Expired,3,20/04/2025,20/05/2025,80
31,Ella,Edwards,29/11/1995,ella.e@example.com,555-0011,11/11/2024,Active,2,10/05/2025,10/06/2025,50
32,Fred,Fisher,03/02/1988,fred.f@example.com,555-0012,18/12/2024,Active,1,16/05/2025,16/06/2025,30
33,Gina,Gibson,07/04/1992,gina.g@example.com,555-0013,22/01/2025,Active,4,22/05/2025,22/06/2025,120
34,Hal,Hill,11/06/1990,hal.h@example.com,555-0014,28/02/2025,Active,3,25/05/2025,25/06/2025,80
35,Ina,Irwin,14/08/1993,ina.i@example.com,555-0015,05/03/2025,Active,2,01/05/2025,01/06/2025,50
36,Joe,Jones,18/10/1987,joe.j@example.com,555-0016,19/03/2025,Active,1,04/05/2025,04/06/2025,30
37,Kate,Kelly,22/12/1996,kate.k@example.com,555-0017,02/04/2025,Active,4,09/05/2025,09/06/2025,120
38,Leo,Lee,26/01/1989,leo.l@example.com,555-0018,16/04/2025,Active,3,14/05/2025,14/06/2025,80
39,May,Moore,01/03/1991,may.m@example.com,555-0019,29/04/2025,Active,2,20/05/2025,20/06/2025,50
40,Ned,Nelson,05/05/1986,ned.n@example.com,555-0020,08/05/2025,Active,1,24/05/2025,24/06/2025,30
41,Ola,Owen,09/07/1994,ola.o@example.com,555-0021,01/06/2024,Active,3,03/05/2025,03/06/2025,80
42,Pam,Parker,13/09/1988,pam.p@example.com,555-0022,07/07/2024,Active,2,07/05/2025,07/06/2025,50
43,Ray,Reed,17/11/1997,ray.r@example.com,555-0023,14/08/2024,Expired,1,15/04/2025,15/05/2025,30
44,Sue,Scott,21/01/1990,sue.s@example.com,555-0024,20/09/2024,Active,4,19/05/2025,19/06/2025,120
45,Tim,Turner,25/03/1985,tim.t@example.com,555-0025,26/10/2024,Active,3,26/05/2025,26/06/2025,80
46,Una,Upton,30/05/1993,una.u@example.com,555-0026,02/11/2024,Active,2,01/05/2025,01/06/2025,50
47,Val,Vance,04/07/1987,val.v@example.com,555-0027,08/12/2024,Active,1,05/05/2025,05/06/2025,30
48,Wes,West,08/09/1996,wes.w@example.com,555-0028,15/01/2025,Active,4,10/05/2025,10/06/2025,120
49,Ximena,Xavier,12/11/1991,ximena.x@example.com,555-0029,20/02/2025,Active,3,12/05/2025,12/06/2025,80
50,Yazmin,Yang,16/01/1989,yazmin.y@example.com,555-0030,03/03/2025,Active,2,18/05/2025,18/06/2025,50
